name,genre,rating,country,score,company,writer,director,hit rate,zscore,robust,minmax,tier
Laggies,-0.2824206,2.325789922,0.620879471,-0.245542225,-0.035685624,-0.045127926,0.004934051,0.4758308,-0.0339575596,-0.462200591,3.69E-05,5
Stealing Beauty,-0.278146896,2.325789922,-0.435660727,-0.194991932,-0.041489211,-0.04654469,-0.037494924,0.476231,-0.0339553856,-0.462064634,3.69E-05,5
Little Odessa,-0.351868288,2.325789922,0.620879471,-0.307188924,-0.038615866,-0.040544279,-0.035983203,0.476471739,-0.0339540778,-0.461982849,3.70E-05,5
Moonlight Mile,-0.278146896,-0.471047245,0.620879471,-0.194991932,-0.033665748,-0.045127926,-0.031347258,0.476716667,-0.0339527472,-0.461899641,3.70E-05,5
Formula 51,-0.320349722,2.325789922,-0.210621479,7.213708296,0.03768423,-0.045127926,-0.033900387,0.477096481,-0.0339506839,-0.46177061,3.70E-05,5
Attack the Block,-0.320349722,2.325789922,-0.210621479,-0.307188924,-0.029199262,-0.044877909,-0.03773008,0.477386308,-0.0339491095,-0.461672149,3.70E-05,5
The Marrying Man,-0.2824206,2.325789922,0.620879471,-0.310887725,-0.035543379,-0.040627618,-0.037830862,0.479029538,-0.0339401827,-0.461113906,3.72E-05,5
The King and I,-0.263723145,-0.127165229,0.620879471,-0.328148801,-0.039014152,-0.045127926,-0.038267581,0.47972084,-0.0339364273,-0.460879055,3.72E-05,5
Femme Fatale,-0.351868288,2.325789922,-0.294534419,-0.27513264,-0.041489211,-0.036293987,-0.033698824,0.481111714,-0.0339288715,-0.460406543,3.73E-05,5
I Origins,-0.278146896,2.325789922,0.620879471,-0.031011714,-0.041489211,0.033710814,-0.006051123,0.481234,-0.0339282072,-0.460365,3.73E-05,5
Once Upon a Crime...,-0.2824206,-0.418807081,0.620879471,-0.320751197,-0.041489211,-0.045127926,-0.037830862,0.481658167,-0.0339259029,-0.460220901,3.74E-05,5
Dick,-0.2824206,-0.471047245,0.620879471,-0.27513264,-0.041489211,-0.036710682,-0.035647265,0.481759846,-0.0339253506,-0.460186358,3.74E-05,5
King of New York,-0.351868288,2.325789922,-0.435660727,-0.156770979,-0.041489211,-0.047128064,-0.037562111,0.481976604,-0.0339241731,-0.46011272,3.74E-05,5
The Neon Demon,3.623744767,2.325789922,0.620879471,-0.27513264,-0.039014152,-0.037877429,-0.024594903,0.48249,-0.0339213841,-0.459938308,3.74E-05,5
The NeverEnding Story II: The Next Chapter,-0.309665462,-0.418807081,-0.410868268,-0.272666772,-0.035145094,-0.045127926,-0.02960038,0.482597972,-0.0339207975,-0.459901627,3.74E-05,5
Duplex,-0.2824206,-0.471047245,-0.410868268,-0.320751197,-0.034149381,-0.042961111,-0.032321478,0.483053375,-0.0339183236,-0.459746916,3.75E-05,5
The Black Cauldron,-0.263723145,-0.418807081,0.620879471,-0.245542225,-0.031731219,-0.045127926,-0.037830862,0.483833909,-0.0339140834,-0.459481751,3.75E-05,5
